order_id,customer_id,order_date,order_amount,channel,campaign,product_category
O0000106,C100025,2025-02-08,94.88,Instagram,Welcome Promo,Electronics
O0000107,C100025,2025-03-28,99.66,Instagram,None,Electronics
O0000108,C100025,2025-05-24,32.18,Instagram,Summer Sale,Fashion
O0000109,C100026,2024-12-08,48.87,Email,None,Groceries
O0000110,C100027,2025-09-13,62.97,Email,None,Home
O0000111,C100027,2025-08-19,31.7,Email,Summer Sale,Home
O0000112,C100027,2024-08-28,12.88,Email,None,Groceries
O0000113,C100027,2025-03-03,44.91,Email,None,Home
O0000114,C100028,2025-08-05,65.7,Referral,Welcome Promo,Home
O0000115,C100028,2025-05-25,34.96,Referral,Welcome Promo,Beauty
O0000116,C100029,2025-07-07,68.16,Email,None,Groceries
O0000117,C100029,2024-09-30,31.47,Email,None,Home
O0000118,C100029,2025-02-21,77.84,Email,None,Beauty
O0000119,C100030,2025-03-10,28.27,Organic Search,Welcome Promo,Electronics
O0000120,C100030,2025-04-14,100.02,Organic Search,None,Fashion
O0000121,C100031,2025-03-04,10.51,Instagram,None,Electronics
O0000122,C100031,2025-04-07,24.59,Instagram,None,Groceries
O0000123,C100031,2025-04-27,49.32,Instagram,None,Electronics
O0000124,C100032,2025-06-23,55.54,Organic Search,None,Fashion
O0000125,C100032,2025-02-06,26.07,Organic Search,Welcome Promo,Home
O0000126,C100032,2025-03-18,68.1,Organic Search,Welcome Promo,Beauty
O0000127,C100033,2025-11-16,58.94,Organic Search,None,Home
O0000128,C100033,2025-11-16,85.6,Organic Search,None,Electronics
O0000129,C100033,2025-11-16,93.09,Organic Search,Black Friday,Home
O0000130,C100034,2026-02-04,56.94,Organic Search,Summer Sale,Home
O0000131,C100034,2026-02-04,69.39,Organic Search,Black Friday,Beauty
O0000132,C100034,2026-02-04,22.51,Organic Search,None,Electronics
O0000133,C100035,2025-06-14,5.0,Facebook Ads,None,Electronics
O0000134,C100035,2025-05-16,92.56,Facebook Ads,Welcome Promo,Groceries
O0000135,C100035,2025-03-07,80.44,Facebook Ads,None,Beauty
O0000136,C100035,2025-03-24,56.5,Facebook Ads,None,Beauty
O0000137,C100035,2025-04-18,82.5,Facebook Ads,None,Electronics
O0000138,C100036,2025-03-19,55.88,Referral,None,Home
O0000139,C100036,2024-07-30,49.42,Referral,None,Fashion
O0000140,C100036,2025-03-28,9.03,Referral,None,Fashion
O0000141,C100036,2025-01-13,45.33,Referral,None,Home
O0000142,C100036,2024-08-03,70.37,Referral,None,Electronics
O0000143,C100037,2025-03-16,50.66,Facebook Ads,Referral Bonus,Fashion
O0000144,C100037,2024-12-25,5.0,Facebook Ads,None,Home
O0000145,C100037,2024-07-06,65.33,Facebook Ads,None,Fashion
O0000146,C100038,2025-02-04,52.42,Organic Search,None,Groceries
O0000147,C100038,2025-01-13,33.08,Organic Search,Summer Sale,Fashion
O0000148,C100038,2025-02-16,43.35,Organic Search,None,Electronics
O0000149,C100038,2025-01-06,94.67,Organic Search,Summer Sale,Fashion
O0000150,C100039,2025-05-16,129.01,Referral,Welcome Promo,Beauty
O0000151,C100039,2025-05-02,37.91,Referral,None,Home
O0000152,C100039,2025-03-22,41.2,Referral,Summer Sale,Groceries
O0000153,C100039,2025-01-18,81.92,Referral,None,Groceries
O0000154,C100039,2025-03-24,51.55,Referral,None,Home
O0000155,C100040,2025-01-15,97.66,Instagram,None,Electronics
O0000156,C100040,2024-08-10,33.85,Instagram,None,Fashion
O0000157,C100040,2024-09-07,38.71,Instagram,None,Electronics
O0000158,C100041,2025-06-07,36.36,Email,None,Electronics
O0000159,C100041,2025-06-02,53.59,Email,Referral Bonus,Beauty
O0000160,C100041,2025-09-15,84.61,Email,None,Fashion
O0000161,C100041,2025-05-12,65.22,Email,None,Home
O0000162,C100041,2025-01-23,65.34,Email,None,Groceries
O0000163,C100041,2025-08-12,10.63,Email,Referral Bonus,Home
O0000164,C100043,2025-08-13,86.03,Facebook Ads,Welcome Promo,Groceries
O0000165,C100043,2025-09-26,62.73,Facebook Ads,None,Home
O0000166,C100043,2025-09-09,19.97,Facebook Ads,None,Groceries
O0000167,C100047,2024-11-14,105.73,Organic Search,None,Fashion
O0000168,C100047,2024-10-16,86.14,Organic Search,None,Home
O0000169,C100047,2024-10-30,59.39,Organic Search,None,Fashion
O0000170,C100047,2025-02-20,5.0,Organic Search,Summer Sale,Fashion
O0000171,C100048,2025-05-05,48.14,Email,None,Home
O0000172,C100048,2025-04-28,56.87,Email,Welcome Promo,Fashion
O0000173,C100049,2025-05-12,27.52,Organic Search,None,Fashion
O0000174,C100049,2025-08-13,52.14,Organic Search,None,Home
O0000175,C100049,2024-06-25,85.48,Organic Search,Welcome Promo,Electronics
O0000176,C100049,2025-09-09,20.8,Organic Search,Welcome Promo,Electronics
O0000177,C100049,2025-04-06,63.53,Organic Search,None,Groceries
O0000178,C100050,2026-02-28,9.51,Email,Referral Bonus,Fashion
O0000179,C100050,2026-02-28,37.54,Email,Welcome Promo,Home
O0000180,C100050,2026-02-28,70.79,Email,None,Groceries
O0000181,C100050,2026-02-28,72.04,Email,None,Electronics
O0000182,C100050,2026-02-28,85.84,Email,None,Home
O0000183,C100051,2025-08-09,30.85,Instagram,Welcome Promo,Home
O0000184,C100051,2025-05-27,46.29,Instagram,None,Electronics
O0000185,C100051,2025-06-23,36.38,Instagram,Welcome Promo,Groceries
O0000186,C100051,2025-07-16,63.34,Instagram,Welcome Promo,Beauty
O0000187,C100051,2025-02-19,50.26,Instagram,Summer Sale,Home
O0000188,C100052,2025-10-28,74.51,Direct,None,Beauty
O0000189,C100052,2025-10-29,74.6,Direct,None,Electronics
O0000190,C100052,2025-10-19,60.17,Direct,None,Electronics
O0000191,C100052,2025-10-17,57.94,Direct,Welcome Promo,Groceries
O0000192,C100053,2025-09-15,77.99,Email,Summer Sale,Groceries
O0000193,C100053,2025-09-16,73.8,Email,Welcome Promo,Home
O0000194,C100053,2025-07-18,62.72,Email,None,Home
O0000195,C100053,2025-08-03,15.87,Email,Referral Bonus,Home
O0000196,C100054,2025-05-16,104.82,Direct,None,Beauty
O0000197,C100054,2024-10-24,73.8,Direct,None,Electronics
O0000198,C100054,2025-06-07,37.74,Direct,Welcome Promo,Groceries
O0000199,C100054,2024-12-21,59.65,Direct,None,Electronics
O0000200,C100054,2025-06-14,5.31,Direct,None,Electronics
O0000201,C100054,2025-06-27,53.1,Direct,Welcome Promo,Groceries
O0000202,C100055,2025-10-16,33.12,Referral,Summer Sale,Home
O0000203,C100055,2025-10-10,26.54,Referral,Summer Sale,Electronics
O0000204,C100055,2025-09-19,5.0,Referral,Welcome Promo,Groceries
O0000205,C100055,2025-08-28,45.49,Referral,None,Home
O0000206,C100055,2025-09-23,58.66,Referral,None,Electronics
O0000207,C100055,2025-09-13,67.58,Referral,None,Groceries
O0000208,C100055,2025-09-05,52.06,Referral,Welcome Promo,Groceries
O0000209,C100057,2025-09-09,34.63,Instagram,None,Beauty
O0000210,C100057,2024-11-26,62.61,Instagram,Summer Sale,Home
O0000211,C100057,2024-10-27,45.98,Instagram,Summer Sale,Electronics
O0000212,C100058,2024-09-27,33.03,Instagram,None,Electronics
O0000213,C100058,2025-02-02,81.08,Instagram,None,Electronics
O0000214,C100058,2024-07-20,85.45,Instagram,None,Home
O0000215,C100058,2025-07-01,82.73,Instagram,None,Fashion
O0000216,C100059,2024-09-15,16.79,Facebook Ads,None,Home
O0000217,C100059,2025-03-03,33.91,Facebook Ads,Welcome Promo,Electronics
O0000218,C100060,2024-11-11,25.79,Email,Welcome Promo,Fashion
O0000219,C100060,2024-09-10,17.08,Email,Black Friday,Home
O0000220,C100062,2025-06-02,44.11,Email,Welcome Promo,Home
O0000221,C100062,2025-07-05,70.95,Email,None,Beauty
O0000222,C100062,2025-07-08,5.0,Email,None,Beauty
O0000223,C100064,2025-07-19,89.76,Instagram,None,Beauty
O0000224,C100064,2024-09-17,22.08,Instagram,None,Home
O0000225,C100064,2024-11-09,105.67,Instagram,None,Home
O0000226,C100064,2024-11-23,14.38,Instagram,None,Electronics
O0000227,C100064,2024-11-14,51.8,Instagram,None,Fashion
O0000228,C100065,2025-07-23,95.17,Facebook Ads,Welcome Promo,Home
O0000229,C100065,2025-03-05,65.46,Facebook Ads,None,Fashion
O0000230,C100065,2024-11-18,5.0,Facebook Ads,None,Home
O0000231,C100067,2025-04-22,110.46,Organic Search,None,Home
O0000232,C100067,2025-07-25,53.72,Organic Search,None,Beauty
O0000233,C100067,2025-06-04,57.29,Organic Search,None,Groceries
O0000234,C100067,2025-03-07,25.22,Organic Search,None,Home
O0000235,C100068,2024-07-22,60.82,Referral,Summer Sale,Groceries
O0000236,C100068,2025-05-12,27.19,Referral,Summer Sale,Groceries
O0000237,C100068,2024-11-08,7.83,Referral,Summer Sale,Fashion
O0000238,C100068,2025-04-04,48.17,Referral,None,Fashion
O0000239,C100068,2024-11-22,40.45,Referral,Summer Sale,Beauty
O0000240,C100072,2024-07-01,49.33,Organic Search,Welcome Promo,Fashion
O0000241,C100072,2024-11-05,13.1,Organic Search,None,Fashion
O0000242,C100072,2024-10-04,63.81,Organic Search,None,Electronics
O0000243,C100072,2025-01-22,92.8,Organic Search,None,Groceries
O0000244,C100072,2024-07-18,55.68,Organic Search,None,Home
O0000245,C100073,2025-08-14,46.86,Organic Search,None,Electronics
O0000246,C100073,2025-08-06,89.34,Organic Search,Welcome Promo,Electronics
O0000247,C100073,2025-06-07,72.81,Organic Search,None,Groceries
O0000248,C100073,2025-03-28,87.04,Organic Search,Black Friday,Groceries
O0000249,C100073,2025-04-10,74.34,Organic Search,None,Home
O0000250,C100074,2025-07-31,98.89,Direct,None,Electronics
O0000251,C100074,2025-06-04,47.05,Direct,None,Electronics
O0000252,C100074,2025-05-30,23.58,Direct,None,Home
O0000253,C100074,2025-08-02,52.95,Direct,Referral Bonus,Home
O0000254,C100074,2025-06-06,61.44,Direct,None,Fashion
O0000255,C100074,2025-06-16,48.96,Direct,None,Groceries
O0000256,C100074,2025-06-12,50.38,Direct,None,Fashion
O0000257,C100074,2025-07-08,31.88,Direct,None,Beauty
O0000258,C100074,2025-01-16,44.74,Direct,Referral Bonus,Fashion
O0000259,C100075,2025-07-16,79.47,Instagram,Summer Sale,Electronics
O0000260,C100075,2025-03-12,37.5,Instagram,Welcome Promo,Electronics
O0000261,C100075,2025-04-28,78.1,Instagram,None,Home
O0000262,C100075,2025-09-11,5.0,Instagram,None,Groceries
O0000263,C100075,2025-08-27,68.14,Instagram,None,Groceries
O0000264,C100076,2025-07-02,32.58,Referral,None,Groceries
O0000265,C100076,2025-04-03,5.0,Referral,Summer Sale,Groceries
O0000266,C100078,2025-05-05,109.65,Organic Search,None,Electronics
O0000267,C100078,2024-10-29,106.06,Organic Search,None,Groceries
O0000268,C100078,2024-11-24,31.7,Organic Search,None,Home
O0000269,C100078,2025-05-30,5.0,Organic Search,Welcome Promo,Home
O0000270,C100079,2025-01-07,81.71,Direct,None,Beauty
O0000271,C100079,2024-12-27,23.37,Direct,Welcome Promo,Home
O0000272,C100079,2024-12-31,5.0,Direct,None,Beauty
O0000273,C100080,2025-08-17,13.37,Email,None,Home
O0000274,C100080,2025-07-24,112.8,Email,Referral Bonus,Home
O0000275,C100081,2024-11-27,30.27,Organic Search,None,Groceries
O0000276,C100081,2024-12-08,86.2,Organic Search,None,Electronics
O0000277,C100081,2024-12-25,29.61,Organic Search,None,Home
O0000278,C100082,2024-11-14,53.05,Instagram,None,Beauty
O0000279,C100082,2025-01-01,39.9,Instagram,None,Home
O0000280,C100082,2025-02-07,36.03,Instagram,Black Friday,Beauty
O0000281,C100082,2025-06-10,64.19,Instagram,None,Home
O0000282,C100082,2024-09-21,5.0,Instagram,None,Fashion
O0000283,C100082,2024-10-31,21.79,Instagram,None,Home
O0000284,C100083,2024-09-08,40.28,Email,Black Friday,Electronics
O0000285,C100083,2025-01-25,101.55,Email,Summer Sale,Fashion
O0000286,C100083,2024-06-08,33.62,Email,None,Beauty
O0000287,C100083,2024-09-01,52.36,Email,None,Electronics
O0000288,C100084,2025-05-03,31.5,Direct,Welcome Promo,Fashion
O0000289,C100084,2024-12-19,75.19,Direct,None,Groceries
O0000290,C100084,2024-08-17,45.06,Direct,None,Beauty
O0000291,C100084,2024-12-01,46.24,Direct,Summer Sale,Home
O0000292,C100085,2025-01-20,48.32,Instagram,None,Fashion
O0000293,C100085,2025-07-04,87.66,Instagram,None,Home
O0000294,C100085,2025-04-20,53.26,Instagram,Welcome Promo,Groceries
O0000295,C100086,2025-05-24,59.33,Facebook Ads,None,Electronics
O0000296,C100086,2025-01-15,70.41,Facebook Ads,Welcome Promo,Home
O0000297,C100087,2024-12-11,53.72,Organic Search,Welcome Promo,Electronics
O0000298,C100087,2024-12-19,58.66,Organic Search,None,Fashion
O0000299,C100087,2025-02-26,18.28,Organic Search,None,Electronics
O0000300,C100088,2025-07-23,87.3,Direct,None,Groceries
O0000301,C100088,2025-07-14,14.16,Direct,None,Electronics
O0000302,C100088,2025-07-31,49.65,Direct,None,Beauty
O0000303,C100088,2025-09-02,32.32,Direct,None,Fashion
O0000304,C100088,2025-08-08,5.0,Direct,Referral Bonus,Home
O0000305,C100088,2025-08-14,43.58,Direct,Welcome Promo,Electronics
O0000306,C100089,2025-04-18,21.93,Organic Search,None,Electronics
O0000307,C100089,2025-06-08,15.69,Organic Search,Summer Sale,Electronics
O0000308,C100089,2025-04-22,82.23,Organic Search,None,Beauty
O0000309,C100089,2025-01-23,79.18,Organic Search,None,Groceries
O0000310,C100089,2024-12-23,23.65,Organic Search,Referral Bonus,Groceries
O0000311,C100089,2024-10-04,53.81,Organic Search,None,Fashion
O0000312,C100090,2025-03-03,75.54,Direct,None,Groceries
O0000313,C100090,2025-01-31,47.62,Direct,None,Electronics
O0000314,C100090,2024-09-13,13.5,Direct,None,Electronics
O0000315,C100090,2024-08-13,13.12,Direct,Welcome Promo,Fashion
O0000316,C100090,2024-09-27,34.8,Direct,Summer Sale,Home
O0000317,C100090,2024-10-29,43.35,Direct,Referral Bonus,Fashion
O0000318,C100091,2025-06-26,44.35,Facebook Ads,None,Beauty
O0000319,C100091,2025-04-22,8.64,Facebook Ads,None,Fashion
O0000320,C100091,2025-04-08,62.65,Facebook Ads,Welcome Promo,Home
O0000321,C100091,2025-08-27,104.95,Facebook Ads,Summer Sale,Electronics
O0000322,C100093,2025-07-05,51.68,Instagram,None,Fashion
O0000323,C100093,2024-11-23,32.4,Instagram,Black Friday,Home
O0000324,C100093,2025-01-14,82.88,Instagram,None,Home
O0000325,C100093,2025-05-08,108.45,Instagram,None,Fashion
O0000326,C100094,2025-04-18,5.0,Organic Search,Welcome Promo,Home
O0000327,C100094,2025-03-04,66.7,Organic Search,None,Home
O0000328,C100094,2025-07-06,33.03,Organic Search,None,Groceries
O0000329,C100094,2025-03-30,5.0,Organic Search,Referral Bonus,Beauty
O0000330,C100094,2025-09-06,64.41,Organic Search,None,Beauty
O0000331,C100094,2025-02-24,96.92,Organic Search,Summer Sale,Home
O0000332,C100094,2025-08-23,26.12,Organic Search,None,Home
O0000333,C100095,2024-12-04,58.13,Organic Search,Welcome Promo,Fashion
O0000334,C100095,2025-03-22,69.99,Organic Search,None,Groceries
O0000335,C100095,2025-03-31,96.69,Organic Search,Welcome Promo,Electronics
O0000336,C100095,2024-11-18,52.44,Organic Search,Summer Sale,Electronics
O0000337,C100095,2024-11-08,79.34,Organic Search,Referral Bonus,Electronics
O0000338,C100096,2025-04-02,50.79,Organic Search,None,Fashion
O0000339,C100097,2024-12-17,46.44,Organic Search,None,Groceries
O0000340,C100097,2024-11-11,65.57,Organic Search,Referral Bonus,Fashion
O0000341,C100097,2025-04-17,61.46,Organic Search,None,Electronics
O0000342,C100097,2025-05-09,42.92,Organic Search,Welcome Promo,Electronics
O0000343,C100097,2024-12-01,25.64,Organic Search,Welcome Promo,Home
O0000344,C100098,2024-09-29,64.9,Email,Black Friday,Electronics
O0000345,C100098,2024-07-15,50.58,Email,None,Groceries
O0000346,C100098,2024-09-14,85.0,Email,None,Fashion
O0000347,C100098,2025-04-03,42.03,Email,Welcome Promo,Home
O0000348,C100099,2024-07-06,105.0,Referral,None,Groceries
O0000349,C100099,2024-08-19,27.83,Referral,None,Electronics
O0000350,C100099,2025-04-04,84.66,Referral,None,Beauty
O0000351,C100100,2025-02-16,24.63,Organic Search,None,Groceries
O0000352,C100100,2024-09-26,44.03,Organic Search,None,Beauty
O0000353,C100100,2025-06-05,67.64,Organic Search,None,Home
O0000354,C100100,2025-04-11,6.53,Organic Search,None,Electronics
O0000355,C100100,2025-02-09,5.0,Organic Search,Summer Sale,Groceries
O0000356,C100101,2025-02-03,68.5,Direct,Summer Sale,Electronics
O0000357,C100101,2025-03-26,35.73,Direct,None,Home
O0000358,C100101,2025-02-02,33.97,Direct,Welcome Promo,Fashion
O0000359,C100102,2025-05-15,62.97,Email,Referral Bonus,Electronics
O0000360,C100102,2025-01-08,63.35,Email,None,Beauty
O0000361,C100102,2024-12-16,64.26,Email,Welcome Promo,Home
O0000362,C100103,2025-03-21,42.38,Direct,None,Beauty
O0000363,C100103,2024-12-12,19.47,Direct,None,Beauty
O0000364,C100103,2024-11-03,23.12,Direct,Referral Bonus,Beauty
O0000365,C100103,2025-01-16,54.74,Direct,None,Home
O0000366,C100103,2025-01-15,52.94,Direct,Black Friday,Beauty
O0000367,C100104,2025-08-22,19.78,Direct,None,Fashion
O0000368,C100104,2025-09-14,50.09,Direct,Referral Bonus,Electronics
O0000369,C100104,2025-10-21,88.5,Direct,Summer Sale,Fashion
O0000370,C100104,2025-09-19,38.43,Direct,Welcome Promo,Fashion
O0000371,C100105,2025-05-13,45.45,Organic Search,Referral Bonus,Home
O0000372,C100105,2024-11-01,41.17,Organic Search,None,Beauty
O0000373,C100105,2025-09-18,21.44,Organic Search,None,Groceries
O0000374,C100105,2025-08-18,58.6,Organic Search,Black Friday,Fashion
O0000375,C100105,2024-11-29,39.94,Organic Search,None,Home
O0000376,C100106,2024-11-07,28.79,Referral,None,Fashion
O0000377,C100106,2025-01-13,11.77,Referral,Welcome Promo,Home
O0000378,C100106,2025-01-26,33.34,Referral,None,Groceries
O0000379,C100106,2024-10-11,48.26,Referral,None,Fashion
O0000380,C100107,2025-03-10,79.66,Email,Welcome Promo,Groceries
O0000381,C100107,2025-05-22,71.47,Email,Summer Sale,Home
O0000382,C100107,2025-07-16,111.72,Email,None,Fashion
O0000383,C100108,2025-04-16,43.35,Facebook Ads,Welcome Promo,Electronics
O0000384,C100108,2025-05-06,16.35,Facebook Ads,Welcome Promo,Electronics
O0000385,C100108,2025-04-14,5.0,Facebook Ads,Welcome Promo,Beauty
O0000386,C100108,2024-08-18,58.68,Facebook Ads,None,Home
O0000387,C100108,2024-08-18,96.31,Facebook Ads,None,Fashion
O0000388,C100108,2024-12-17,17.92,Facebook Ads,Summer Sale,Beauty
O0000389,C100109,2024-10-26,41.69,Organic Search,None,Home
O0000390,C100109,2024-12-12,26.99,Organic Search,Welcome Promo,Beauty
O0000391,C100109,2024-10-25,81.84,Organic Search,None,Groceries
O0000392,C100109,2024-08-06,35.58,Organic Search,None,Electronics
O0000393,C100109,2025-05-03,49.63,Organic Search,None,Beauty
O0000394,C100110,2024-12-06,41.79,Email,Summer Sale,Groceries
O0000395,C100110,2025-01-21,54.14,Email,Welcome Promo,Beauty
O0000396,C100110,2024-08-05,29.23,Email,Welcome Promo,Electronics
O0000397,C100111,2024-08-07,37.78,Organic Search,Welcome Promo,Groceries
O0000398,C100111,2025-06-07,13.33,Organic Search,Welcome Promo,Groceries
O0000399,C100112,2025-10-23,50.27,Organic Search,None,Fashion
O0000400,C100112,2025-10-05,34.89,Organic Search,Black Friday,Groceries
O0000401,C100113,2025-04-20,20.03,Instagram,None,Home
O0000402,C100113,2025-05-30,56.56,Instagram,Welcome Promo,Home
O0000403,C100113,2025-04-18,55.37,Instagram,Black Friday,Electronics
O0000404,C100114,2025-06-01,80.88,Instagram,Black Friday,Home
O0000405,C100114,2025-02-08,45.33,Instagram,None,Fashion
O0000406,C100114,2025-07-01,53.22,Instagram,Welcome Promo,Home
O0000407,C100116,2025-05-09,69.27,Organic Search,None,Beauty
O0000408,C100116,2025-07-02,37.13,Organic Search,Welcome Promo,Beauty
O0000409,C100117,2024-09-08,61.75,Email,Welcome Promo,Fashion
O0000410,C100117,2025-02-13,79.16,Email,None,Home
O0000411,C100117,2024-11-15,69.83,Email,Summer Sale,Groceries
O0000412,C100118,2025-07-14,68.36,Referral,None,Home
